timestamp,ch1
1701530511.469,-8558.438248448163
1701530511.473,-8526.899937021726
1701530511.477,-8503.698826277117
1701530511.481,-8493.282913360943
1701530511.4850001,-8479.2013143541
1701530511.489,-8433.402589965175
1701530511.493,-8436.800055122383
1701530511.497,-8462.593968223808
1701530511.501,-8499.250829130511
1701530511.505,-8527.97282075558
1701530511.509,-8559.55583567093
1701530511.513,-8580.007681847535
1701530511.517,-8594.379853532297
1701530511.521,-8594.849240165859
1701530511.525,-8589.976559874602
1701530511.529,-8553.990251301557
1701530511.533,-8552.157408256222
1701530511.537,-8579.18066730269
1701530511.541,-8611.031903151501
1701530511.5449998,-8645.23007216812
1701530511.549,-8682.378671452841
1701530511.553,-8723.796453928526
1701530511.557,-8749.54566354104
1701530511.5609999,-8748.651593762826
1701530511.565,-8742.013125659601
1701530511.569,-8718.610849214894
1701530511.573,-8728.758541197603
1701530511.577,-8755.0665444215
1701530511.5809999,-8780.458126122729
1701530511.585,-8783.989701746666
1701530511.589,-8762.934358469767
1701530511.593,-8731.39604704333
1701530511.597,-8714.185203812744
1701530511.6009998,-8692.90634309129
1701530511.605,-8726.366904540886
1701530511.609,-8752.809018231514
1701530511.613,-8773.238512663665
1701530511.617,-8792.93039952879
1701530511.621,-8815.483309684196
1701530511.625,-8817.405559707351
1701530511.6290002,-8806.296742713064
1701530511.6330001,-8824.535766188594
1701530511.637,-8862.936063162811
1701530511.641,-8899.168240924864
1701530511.6450002,-8930.259517462197
1701530511.6490002,-8914.52388936566
1701530511.653,-8898.274171146651
1701530511.657,-8884.729014006736
1701530511.661,-8852.810722924558
1701530511.6650002,-8837.298612272574
1701530511.6690001,-8841.254871041165
1701530511.673,-8855.694097959293
1701530511.677,-8888.819383242057
1701530511.681,-8911.372293397462
1701530511.6850002,-8897.76008102418
1701530511.6890001,-8831.196586036276
1701530511.693,-8776.233646420676
1701530511.697,-8750.484436808161
1701530511.701,-8734.167663355787
1701530511.705,-8756.854683977925
1701530511.709,-8777.574751087994
1701530511.713,-8792.081033239489
